Rank ,Major ,Degree Type ,Early Career Pay ,Mid-Career Pay  ,
258,Studio Art,Bachelor's,"$36,700 ","$60,600 ",
259 (tie),Anthropology,Bachelor's,"$39,900 ","$60,500 ",
259 (tie),Dietetics,Bachelor's,"$44,300 ","$60,500 ",
259 (tie),Graphic Design,Bachelor's,"$40,000 ","$60,500 ",
259 (tie),Public Health (PH),Bachelor's,"$38,300 ","$60,500 ",
263 (tie),Exercise Physiology,Bachelor's,"$38,400 ","$60,300 ",
263 (tie),Religious Studies,Bachelor's,"$38,500 ","$60,300 ",
265,Hospitality Management,Bachelor's,"$40,500 ","$60,200 ",
266,Health & Physical Education Teaching,Bachelor's,"$35,900 ","$60,100 ",
267 (tie),Music Business,Bachelor's,"$39,100 ","$60,000 ",
267 (tie),Social Science,Bachelor's,"$39,700 ","$60,000 ",
269 (tie),Health Care Administration,Bachelor's,"$39,400 ","$59,900 ",
269 (tie),Theater,Bachelor's,"$39,500 ","$59,900 ",
271,Interdisciplinary Studies (IS),Bachelor's,"$39,800 ","$59,500 ",
272,Human Resources Development,Bachelor's,"$40,400 ","$59,400 ",
273,"Graphic Design, Illustration",Bachelor's,"$36,800 ","$59,300 ",
274 (tie),Criminal Justice,Bachelor's,"$37,000 ","$59,100 ",
274 (tie),Nutrition & Dietetics,Bachelor's,"$44,000 ","$59,100 ",
276,Health Administration,Bachelor's,"$36,600 ","$59,000 ",
277 (tie),Animal Science,Bachelor's,"$35,800 ","$58,900 ",
277 (tie),Exercise & Sports Science,Bachelor's,"$36,800 ","$58,900 ",
279 (tie),Foods & Nutrition,Bachelor's,"$40,900 ","$58,700 ",
279 (tie),Painting,Bachelor's,"$37,200 ","$58,700 ",
279 (tie),Photography,Bachelor's,"$38,000 ","$58,700 ",
282,Liberal Studies,Bachelor's,"$39,600 ","$58,600 ",
283,Restaurant & Food Service Management,Bachelor's,"$40,600 ","$58,400 ",
284 (tie),Music,Bachelor's,"$38,300 ","$58,300 ",
284 (tie),Theatre,Bachelor's,"$36,500 ","$58,300 ",
286 (tie),Practical Nursing,Bachelor's,"$45,300 ","$58,100 ",
